[2025/12/01 01:27:47] Epoch[1/300], Step[1/173], lr:1.00e-04, PSNR:9.68, pixel_loss:0.3578, clip_loss:0.0000, total_loss:0.3578 [WARMUP]
[2025/12/01 01:27:56] Epoch[1/300], Step[51/173], lr:1.09e-04, PSNR:9.99, pixel_loss:0.3627, clip_loss:0.0000, total_loss:0.3627 [WARMUP]
[2025/12/01 01:28:04] Epoch[1/300], Step[101/173], lr:1.17e-04, PSNR:10.78, pixel_loss:0.3333, clip_loss:0.0000, total_loss:0.3333 [WARMUP]
[2025/12/01 01:28:12] Epoch[1/300], Step[151/173], lr:1.26e-04, PSNR:11.24, pixel_loss:0.3163, clip_loss:0.0000, total_loss:0.3163 [WARMUP]
[2025/12/01 01:28:15] Epoch[1/300], Step[173/173], lr:1.30e-04, PSNR:11.37, pixel_loss:0.3120, clip_loss:0.0000, total_loss:0.3120 [WARMUP]
[2025/12/01 01:29:32] Epoch[2/300], Step[1/173], lr:1.30e-04, PSNR:12.52, pixel_loss:0.2603, clip_loss:0.0000, total_loss:0.2603 [WARMUP]
[2025/12/01 01:29:48] Epoch[2/300], Step[51/173], lr:1.39e-04, PSNR:12.68, pixel_loss:0.2686, clip_loss:0.0000, total_loss:0.2686 [WARMUP]
[2025/12/01 01:30:00] Epoch[2/300], Step[101/173], lr:1.47e-04, PSNR:12.79, pixel_loss:0.2660, clip_loss:0.0000, total_loss:0.2660 [WARMUP]
[2025/12/01 01:30:11] Epoch[2/300], Step[151/173], lr:1.56e-04, PSNR:12.87, pixel_loss:0.2624, clip_loss:0.0000, total_loss:0.2624 [WARMUP]
[2025/12/01 01:30:13] Epoch[2/300], Step[173/173], lr:1.60e-04, PSNR:12.94, pixel_loss:0.2603, clip_loss:0.0000, total_loss:0.2603 [WARMUP]
[2025/12/01 01:31:29] Epoch[3/300], Step[1/173], lr:1.60e-04, PSNR:13.92, pixel_loss:0.2185, clip_loss:0.0000, total_loss:0.2185 [WARMUP]
[2025/12/01 01:31:39] Epoch[3/300], Step[51/173], lr:1.69e-04, PSNR:13.73, pixel_loss:0.2399, clip_loss:0.0000, total_loss:0.2399 [WARMUP]
[2025/12/01 01:31:49] Epoch[3/300], Step[101/173], lr:1.77e-04, PSNR:13.82, pixel_loss:0.2384, clip_loss:0.0000, total_loss:0.2384 [WARMUP]
[2025/12/01 01:31:55] Epoch[3/300], Step[151/173], lr:1.86e-04, PSNR:13.9, pixel_loss:0.2366, clip_loss:0.0000, total_loss:0.2366 [WARMUP]
[2025/12/01 01:31:59] Epoch[3/300], Step[173/173], lr:1.90e-04, PSNR:13.92, pixel_loss:0.2357, clip_loss:0.0000, total_loss:0.2357 [WARMUP]
[2025/12/01 01:33:21] Epoch[4/300], Step[1/173], lr:1.90e-04, PSNR:13.76, pixel_loss:0.2109, clip_loss:0.0000, total_loss:0.2109 [WARMUP]
[2025/12/01 01:33:36] Epoch[4/300], Step[51/173], lr:1.99e-04, PSNR:14.49, pixel_loss:0.2223, clip_loss:0.0000, total_loss:0.2223 [WARMUP]
[2025/12/01 01:33:50] Epoch[4/300], Step[101/173], lr:2.07e-04, PSNR:14.55, pixel_loss:0.2204, clip_loss:0.0000, total_loss:0.2204 [WARMUP]
